S_values,z_values
0,0
0.00390625,0.00389767
0.000674505,0.000673023
0.00195312,0.00194883
0.00323175,0.00322465
0.0078125,0.00778928
0.00458075,0.00456965
0.00585938,0.00584348
0.007138,0.00711731
0.0117188,0.0116681
0.008487,0.00845906
0.00976562,0.00972871
0.0110442,0.0109984
0.015625,0.0155269
0.0123933,0.0123344
0.0136719,0.0135975
0.0149505,0.0148606
0.0195312,0.0193578
0.0162995,0.0161884
0.0175781,0.0174423
0.0188567,0.0186963
0.0234375,0.0231527
0.0202058,0.0200131
0.0214844,0.0212552
0.022763,0.0224974
0.0273438,0.0269033
0.024112,0.0238003
0.0253906,0.025028
0.0266692,0.0262557
0.03125,0.0306014
0.0280183,0.0275419
0.0292969,0.0287524
0.0305755,0.0299628
0.0351562,0.0342386
0.0319245,0.0312294
0.0332031,0.03242
0.0344817,0.0336106
0.0390625,0.0378072
0.0358308,0.0348548
0.0371094,0.0360229
0.038388,0.037191
0.0429688,0.0412997
0.039737,0.0384103
0.0410156,0.0395534
0.0422942,0.0406966
0.046875,0.0447093
0.0436433,0.0418884
0.0449219,0.0430045
0.0462005,0.0441205
0.0507812,0.0480301
0.0475495,0.0452827
0.0488281,0.0463697
0.0501067,0.0474567
0.0546875,0.0512572
0.0514558,0.0485873
0.0527344,0.0496436
0.054013,0.0507
0.0585938,0.0543869
0.055362,0.0517976
0.0566406,0.0528221
0.0579192,0.0538465
0.0625,0.057417
0.0592683,0.0549101
0.0605469,0.055902
0.0618255,0.0568938
0.0664062,0.0603469
0.0631745,0.0579229
0.0644531,0.058882
0.0657317,0.059841
0.0703125,0.0631777
0.0670808,0.0608357
0.0683594,0.0617623
0.069638,0.0626889
0.0742188,0.0659128
0.070987,0.06365
0.0722656,0.0645452
0.0735442,0.0654405
0.078125,0.0685575
0.0748933,0.0663694
0.0761719,0.0672351
0.0774505,0.0681008
0.0820312,0.0711196
0.0787995,0.0689999
0.0800781,0.0698386
0.0813567,0.0706772
0.0859375,0.0736092
0.0827058,0.0715495
0.0839844,0.0723644
0.085263,0.0731793
0.0898438,0.0760386
0.086612,0.0740287
0.0878906,0.0748239
0.0891692,0.0756191
0.09375,0.0784222
0.0905183,0.0764502
0.0917969,0.0772304
0.0930755,0.0780106
0.0976562,0.0807759
0.0944245,0.0788286
0.0957031,0.079599
0.0969817,0.0803694
0.101562,0.0831167
0.0983308,0.0811801
0.0996094,0.0819463
0.100888,0.0827125
0.105469,0.0854622
0.102237,0.0835217
0.103516,0.0842894
0.104794,0.0850572
0.109375,0.0878295
0.106143,0.085871
0.107422,0.0866459
0.1087,0.0874208
0.113281,0.090235
0.11005,0.0882449
0.111328,0.0890322
0.112607,0.0898196
0.117188,0.0926932
0.113956,0.0906594
0.115234,0.0914641
0.116513,0.0922687
0.121094,0.095217
0.117862,0.093129
0.119141,0.0939551
0.120419,0.0947812
0.125,0.0978171
0.121768,0.095666
0.123047,0.0965171
0.124325,0.0973681
0.128906,0.100502
0.125675,0.0982807
0.126953,0.0991594
0.128232,0.100038
0.132812,0.103277
0.129581,0.100981
0.130859,0.101889
0.132138,0.102798
0.136719,0.106147
0.133487,0.103773
0.134766,0.104712
0.136044,0.105652
0.140625,0.109115
0.137393,0.10666
0.138672,0.107631
0.13995,0.108602
0.144531,0.112179
0.1413,0.109644
0.142578,0.110647
0.143857,0.11165
0.148438,0.115339
0.145206,0.112724
0.146484,0.113759
0.147763,0.114793
0.152344,0.118592
0.149112,0.115901
0.150391,0.116966
0.151669,0.118031
0.15625,0.121935
0.153018,0.11917
0.154297,0.120264
0.155575,0.121358
0.160156,0.125363
0.156925,0.122527
0.158203,0.123649
0.159482,0.124771
0.164062,0.12887
0.160831,0.125968
0.162109,0.127116
0.163388,0.128264
0.167969,0.132449
0.164737,0.129488
0.166016,0.130659
0.167294,0.131831
0.171875,0.136094
0.168643,0.133078
0.169922,0.134271
0.1712,0.135464
0.175781,0.139797
0.17255,0.136733
0.173828,0.137945
0.175107,0.139158
0.179688,0.143551
0.176456,0.140445
0.177734,0.141674
0.179013,0.142903
0.183594,0.147348
0.180362,0.144207
0.181641,0.14545
0.182919,0.146692
0.1875,0.15118
0.184268,0.14801
0.185547,0.149264
0.186825,0.150518
0.191406,0.155039
0.188175,0.151846
0.189453,0.15311
0.190732,0.154373
0.195312,0.158918
0.192081,0.155709
