S_values,z_values
0.292294,0.264308
0.296875,0.267935
0.293643,0.265385
0.294922,0.266394
0.2962,0.267403
0.300781,0.271155
0.29755,0.268491
0.298828,0.269545
0.300107,0.270599
0.304688,0.274638
0.301456,0.271756
0.302734,0.272896
0.304013,0.274037
0.308594,0.278377
0.305362,0.275284
0.306641,0.276508
0.307919,0.277731
0.3125,0.282263
0.309268,0.279048
0.310547,0.28032
0.311825,0.281592
0.316406,0.286155
0.313175,0.282935
0.314453,0.284209
0.315732,0.285483
0.320312,0.289945
0.317081,0.286809
0.318359,0.28805
0.319638,0.28929
0.324219,0.293608
0.320987,0.290577
0.322266,0.291776
0.323544,0.292976
0.328125,0.297213
0.324893,0.294231
0.326172,0.295411
0.32745,0.296591
0.332031,0.300872
0.3288,0.297845
0.330078,0.299043
0.331357,0.30024
0.335938,0.304656
0.332706,0.301525
0.333984,0.302764
0.335263,0.304003
0.339844,0.308545
0.336612,0.305328
0.337891,0.3066
0.339169,0.307873
0.34375,0.312435
0.340518,0.309217
0.341797,0.31049
0.343075,0.311763
0.347656,0.316193
0.344425,0.313084
0.345703,0.314314
0.346982,0.315544
0.351562,0.319721
0.348331,0.316802
0.349609,0.317957
0.350888,0.319111
0.355469,0.323022
0.352237,0.320291
0.353516,0.321371
0.354794,0.322452
0.359375,0.326225
0.356143,0.323575
0.357422,0.324624
0.3587,0.325672
0.363281,0.329517
0.36005,0.326794
0.361328,0.327871
0.362607,0.328949
0.367188,0.333031
0.363956,0.330124
0.365234,0.331274
0.366513,0.332424
0.371094,0.336777
0.367862,0.333678
0.369141,0.334904
0.370419,0.33613
0.375,0.340664
0.371768,0.337448
0.373047,0.33872
0.374325,0.339992
0.378906,0.344554
0.375675,0.341335
0.376953,0.342609
0.378232,0.343883
0.382812,0.348336
0.379581,0.345207
0.380859,0.346445
0.382138,0.347683
0.386719,0.35197
0.383487,0.348963
0.384766,0.350153
0.386044,0.351343
0.390625,0.35552
0.387393,0.352583
0.388672,0.353745
0.38995,0.354907
0.394531,0.359106
0.3913,0.356139
0.392578,0.357313
0.393857,0.358487
0.398438,0.362824
0.395206,0.359748
0.396484,0.360965
0.397763,0.362182
0.402344,0.366678
0.399112,0.363489
0.400391,0.364751
0.401669,0.366013
0.40625,0.370584
0.403018,0.367353
0.404297,0.368631
0.405575,0.369909
0.410156,0.37441
0.406925,0.371244
0.408203,0.372497
0.409482,0.373749
0.414062,0.37805
0.410831,0.375038
0.412109,0.37623
0.413388,0.377421
0.417969,0.38148
0.414737,0.378642
0.416016,0.379765
0.417294,0.380887
0.421875,0.384793
0.418643,0.382052
0.419922,0.383136
0.4212,0.38422
0.425781,0.388154
0.42255,0.385373
0.423828,0.386473
0.425107,0.387574
0.429688,0.391698
0.426456,0.388766
0.427734,0.389926
0.429013,0.391086
0.433594,0.395453
0.430362,0.392347
0.431641,0.393575
0.432919,0.394804
0.4375,0.39934
0.434268,0.396124
0.435547,0.397397
0.436825,0.398669
0.441406,0.40323
0.438175,0.400012
0.439453,0.401285
0.440732,0.402558
0.445312,0.407002
0.442081,0.403881
0.443359,0.405116
0.444638,0.406351
0.449219,0.410607
0.445987,0.407625
0.447266,0.408805
0.448544,0.409985
0.453125,0.414098
0.449893,0.41121
0.451172,0.412353
0.45245,0.413495
0.457031,0.417602
0.4538,0.414703
0.455078,0.41585
0.456357,0.416997
0.460938,0.421239
0.457706,0.41823
0.458984,0.419421
0.460263,0.420611
0.464844,0.425041
0.461612,0.421896
0.462891,0.42314
0.464169,0.424384
0.46875,0.428941
0.465518,0.425714
0.466797,0.426991
0.468075,0.428267
0.472656,0.432814
0.469425,0.429609
0.470703,0.430877
0.471982,0.432145
0.476562,0.436544
0.473331,0.433458
0.474609,0.434679
0.475888,0.4359
0.480469,0.440086
0.477237,0.437156
0.478516,0.438315
0.479794,0.439474
0.484375,0.443499
0.481143,0.440675
0.482422,0.441792
0.4837,0.44291
0.488281,0.446927
0.48505,0.444091
0.486328,0.445213
0.487607,0.446335
0.492188,0.450502
0.488956,0.447544
0.490234,0.448714
0.491513,0.449884
0.496094,0.454265
0.492862,0.451151
0.494141,0.452383
0.495419,0.453615
0.5,0.458153
0.496768,0.454936
0.498047,0.456209
0.499325,0.457482
0.503906,0.462042
0.500675,0.458825
0.501953,0.460098
0.503232,0.461371
0.507812,0.465805
0.504581,0.462692
0.505859,0.463924
0.507138,0.465156
0.511719,0.46938
0.508487,0.466423
0.509766,0.467593
0.511044,0.468763
0.515625,0.472808
0.512393,0.469972
0.513672,0.471094
0.51495,0.472216
0.519531,0.476221
0.5163,0.473397
0.517578,0.474515
0.518857,0.475632
0.523438,0.479763
0.520206,0.476833
0.521484,0.477992
0.522763,0.479151
0.527344,0.483493
0.524112,0.480407
0.525391,0.481628
0.526669,0.482849
0.53125,0.487366
0.528018,0.484162
0.529297,0.48543
0.530575,0.486698
0.535156,0.491266
0.531925,0.48804
0.533203,0.489316
0.534482,0.490593
0.539062,0.495068
0.535831,0.491923
0.537109,0.493167
0.538388,0.494411
0.542969,0.498705
0.539737,0.495696
0.541016,0.496886
0.542294,0.498077
0.546875,0.502209
0.543643,0.49931
0.544922,0.500457
0.5462,0.501604
0.550781,0.5057
0.54755,0.502812
0.548828,0.503954
0.550107,0.505097
0.554688,0.509305
0.551456,0.506322
0.552734,0.507502
0.554013,0.508682
0.558594,0.513077
0.555362,0.509956
0.556641,0.511191
0.557919,0.512426
0.5625,0.516967
0.559268,0.513749
0.560547,0.515022
0.561825,0.516295
0.566406,0.520854
0.563175,0.517638
0.564453,0.51891
0.565732,0.520183
0.570312,0.524609
0.567081,0.521503
0.568359,0.522732
0.569638,0.52396
0.574219,0.528153
0.570987,0.525221
0.572266,0.526381
0.573544,0.527541
0.578125,0.531514
0.574893,0.528733
0.576172,0.529834
0.57745,0.530934
0.582031,0.534827
0.5788,0.532087
0.580078,0.533171
0.581357,0.534255
0.585938,0.538257
0.582706,0.53542
