S_values,r_values
0.617188,0.670074
0.615234,0.668127
0.621094,0.673971
0.619141,0.672022
0.625,0.677872
0.623047,0.675921
0.628906,0.681775
0.626953,0.679823
0.632812,0.685681
0.630859,0.683728
0.636719,0.689587
0.634766,0.687634
0.640625,0.693493
0.638672,0.69154
0.644531,0.697398
0.642578,0.695446
0.648438,0.701301
0.646484,0.69935
0.652344,0.705201
0.650391,0.703251
0.65625,0.709096
0.654297,0.707149
0.660156,0.712987
0.658203,0.711042
0.664062,0.716872
0.662109,0.71493
0.667969,0.720749
0.666016,0.718811
0.671875,0.724618
0.669922,0.722684
0.675781,0.728477
0.673828,0.726549
0.679688,0.732326
0.677734,0.730403
0.683594,0.736164
0.681641,0.734247
0.6875,0.739988
0.685547,0.738078
0.691406,0.743799
0.689453,0.741896
0.695312,0.747595
0.693359,0.745699
0.699219,0.751374
0.697266,0.749486
0.703125,0.755136
0.701172,0.753257
0.707031,0.758879
0.705078,0.75701
0.710938,0.762602
0.708984,0.760743
0.714844,0.766303
0.712891,0.764455
0.71875,0.769983
0.716797,0.768146
0.722656,0.773638
0.720703,0.771814
0.726562,0.777269
0.724609,0.775457
0.730469,0.780873
0.728516,0.779075
0.734375,0.78445
0.732422,0.782665
0.738281,0.787998
0.736328,0.786228
0.742188,0.791516
0.740234,0.789761
0.746094,0.795002
0.744141,0.793263
0.75,0.798455
0.748047,0.796733
0.753906,0.801874
0.751953,0.800169
0.757812,0.805257
0.755859,0.80357
0.761719,0.808604
0.759766,0.806935
0.765625,0.811912
0.763672,0.810263
0.769531,0.815181
0.767578,0.813552
0.773438,0.818408
0.771484,0.8168
0.777344,0.821594
0.775391,0.820006
0.78125,0.824735
0.779297,0.82317
0.785156,0.827832
0.783203,0.826289
0.789062,0.830881
0.787109,0.829362
0.792969,0.833883
0.791016,0.832389
0.796875,0.836836
0.794922,0.835366
0.800781,0.839738
0.798828,0.838294
0.804688,0.842589
0.802734,0.84117
0.808594,0.845386
0.806641,0.843994
0.8125,0.848128
0.810547,0.846764
0.816406,0.850814
0.814453,0.849478
0.820312,0.853443
0.818359,0.852136
0.824219,0.856013
0.822266,0.854735
0.828125,0.858523
0.826172,0.857275
0.832031,0.860971
0.830078,0.859755
0.835938,0.863357
0.833984,0.862172
0.839844,0.865679
0.837891,0.864526
0.84375,0.867936
0.841797,0.866816
0.847656,0.870126
0.845703,0.869039
0.851562,0.872248
0.849609,0.871196
0.855469,0.874302
0.853516,0.873284
0.859375,0.876285
0.857422,0.875302
0.863281,0.878197
0.861328,0.87725
0.867188,0.880036
0.865234,0.879125
0.871094,0.881801
0.869141,0.880928
0.875,0.883491
0.873047,0.882655
0.878906,0.885105
0.876953,0.884308
0.882812,0.886643
0.880859,0.885884
0.886719,0.888102
0.884766,0.887382
0.890625,0.889481
0.888672,0.888802
0.894531,0.890781
0.892578,0.890141
0.898438,0.891999
0.896484,0.8914
0.902344,0.893136
0.900391,0.892578
0.90625,0.894189
0.904297,0.893673
0.910156,0.895158
0.908203,0.894684
0.914062,0.896042
0.912109,0.895611
0.917969,0.896841
0.916016,0.896453
0.921875,0.897554
0.919922,0.897208
0.925781,0.898179
0.923828,0.897877
0.929688,0.898717
0.927734,0.898459
0.933594,0.899166
0.931641,0.898953
0.9375,0.899526
0.935547,0.899357
0.941406,0.899797
0.939453,0.899673
0.945312,0.899977
0.943359,0.899898
0.949219,0.900067
0.947266,0.900034
0.953125,0.900066
0.951172,0.900078
0.957031,0.899974
0.955078,0.900031
0.960938,0.89979
0.958984,0.899893
0.964844,0.899514
0.962891,0.899663
0.96875,0.899145
0.966797,0.899341
0.972656,0.898685
0.970703,0.898926
0.976562,0.898131
0.974609,0.89842
0.980469,0.897486
0.978516,0.89782
0.984375,0.896748
0.982422,0.897128
0.988281,0.895917
0.986328,0.896344
0.992188,0.894994
0.990234,0.895467
0.996094,0.893979
0.994141,0.894498
1,0.892872
0.998047,0.893437
