S_values,r_values
0.302734,0.967079
0.304013,0.966746
0.308594,0.965661
0.305362,0.966413
0.306641,0.966116
0.307919,0.965818
0.3125,0.964869
0.309268,0.965524
0.310547,0.965265
0.311825,0.965006
0.316406,0.964203
0.313175,0.964754
0.314453,0.964536
0.315732,0.964318
0.320312,0.963669
0.317081,0.964111
0.318359,0.963936
0.319638,0.963762
0.324219,0.963274
0.320987,0.963601
0.322266,0.963472
0.323544,0.963342
0.328125,0.963022
0.324893,0.963231
0.326172,0.963148
0.32745,0.963066
0.332031,0.962918
0.3288,0.963004
0.330078,0.96297
0.331357,0.962936
0.335938,0.962965
0.332706,0.962926
0.333984,0.962941
0.335263,0.962957
0.339844,0.963164
0.336612,0.962999
0.337891,0.963064
0.339169,0.96313
0.34375,0.963517
0.340518,0.963225
0.341797,0.963341
0.343075,0.963456
0.347656,0.964024
0.344425,0.963605
0.345703,0.963771
0.346982,0.963937
0.351562,0.964684
0.348331,0.964138
0.349609,0.964354
0.350888,0.96457
0.355469,0.965494
0.352237,0.964824
0.353516,0.965089
0.354794,0.965354
0.359375,0.966451
0.356143,0.965659
0.357422,0.965973
0.3587,0.966286
0.363281,0.967552
0.36005,0.966642
0.361328,0.967002
0.362607,0.967362
0.367188,0.968791
0.363956,0.967766
0.365234,0.968171
0.366513,0.968577
0.371094,0.970161
0.367862,0.969027
0.369141,0.969476
0.370419,0.969924
0.375,0.971656
0.371768,0.970419
0.373047,0.970908
0.374325,0.971398
0.378906,0.973268
0.375675,0.971934
0.376953,0.972462
0.378232,0.97299
0.382812,0.974989
0.379581,0.973565
0.380859,0.974129
0.382138,0.974692
0.386719,0.976809
0.383487,0.975303
0.384766,0.975899
0.386044,0.976494
0.390625,0.978718
0.387393,0.977138
0.388672,0.977763
0.38995,0.978388
0.394531,0.980706
0.3913,0.979061
0.392578,0.979712
0.393857,0.980362
0.398438,0.982761
0.395206,0.98106
0.396484,0.981733
0.397763,0.982406
0.402344,0.984873
0.399112,0.983126
0.400391,0.983817
0.401669,0.984508
0.40625,0.98703
0.403018,0.985246
0.404297,0.985952
0.405575,0.986658
0.410156,0.989219
0.406925,0.987408
0.408203,0.988125
0.409482,0.988841
0.414062,0.99143
0.410831,0.989601
0.412109,0.990324
0.413388,0.991048
0.417969,0.993648
0.414737,0.991813
0.416016,0.992539
0.417294,0.993265
0.421875,0.995863
0.418643,0.99403
0.419922,0.994755
0.4212,0.99548
0.425781,0.998061
0.42255,0.996242
0.423828,0.996962
0.425107,0.997681
0.429688,1.00023
0.426456,0.998436
0.427734,0.999146
0.429013,0.999856
0.433594,1.00236
0.430362,1.0006
0.431641,1.0013
0.432919,1.00199
0.4375,1.00444
0.434268,1.00272
0.435547,1.0034
0.436825,1.00408
0.441406,1.00645
0.438175,1.00479
0.439453,1.00545
0.440732,1.00611
0.445312,1.0084
0.442081,1.00679
0.443359,1.00742
0.444638,1.00806
0.449219,1.01025
0.445987,1.00872
0.447266,1.00932
0.448544,1.00993
0.453125,1.01201
0.449893,1.01056
0.451172,1.01113
0.45245,1.01171
0.457031,1.01367
0.4538,1.0123
0.455078,1.01284
0.456357,1.01338
0.460938,1.01522
0.457706,1.01394
0.458984,1.01444
0.460263,1.01495
0.464844,1.01664
0.461612,1.01546
0.462891,1.01593
0.464169,1.01639
0.46875,1.01793
0.465518,1.01686
0.466797,1.01729
0.468075,1.01771
0.472656,1.01909
0.469425,1.01813
0.470703,1.01851
0.471982,1.01889
0.476562,1.02011
0.473331,1.01927
0.474609,1.0196
0.475888,1.01993
0.480469,1.02098
0.477237,1.02026
0.478516,1.02054
0.479794,1.02083
0.484375,1.0217
0.481143,1.0211
0.482422,1.02134
0.4837,1.02157
0.488281,1.02226
0.48505,1.02179
0.486328,1.02198
0.487607,1.02216
0.492188,1.02266
0.488956,1.02233
0.490234,1.02246
0.491513,1.02259
0.496094,1.02291
0.492862,1.02271
0.494141,1.02278
0.495419,1.02286
0.5,1.02299
0.496768,1.02292
0.498047,1.02295
0.499325,1.02297
0.503906,1.02291
0.500675,1.02297
0.501953,1.02295
0.503232,1.02292
0.507812,1.02266
0.504581,1.02286
0.505859,1.02278
0.507138,1.02271
0.511719,1.02226
0.508487,1.02259
0.509766,1.02246
0.511044,1.02233
0.515625,1.0217
0.512393,1.02216
0.513672,1.02198
0.51495,1.02179
0.519531,1.02098
0.5163,1.02157
0.517578,1.02134
0.518857,1.0211
0.523438,1.02011
0.520206,1.02083
0.521484,1.02054
0.522763,1.02026
0.527344,1.01909
0.524112,1.01993
0.525391,1.0196
0.526669,1.01927
0.53125,1.01793
0.528018,1.01889
0.529297,1.01851
0.530575,1.01813
0.535156,1.01664
0.531925,1.01771
0.533203,1.01729
0.534482,1.01686
0.539062,1.01522
0.535831,1.01639
0.537109,1.01593
0.538388,1.01546
0.542969,1.01367
0.539737,1.01495
0.541016,1.01444
0.542294,1.01394
0.546875,1.01201
0.543643,1.01338
0.544922,1.01284
0.5462,1.0123
0.550781,1.01025
0.54755,1.01171
0.548828,1.01113
0.550107,1.01056
0.554688,1.0084
0.551456,1.00993
0.552734,1.00932
0.554013,1.00872
0.558594,1.00645
0.555362,1.00806
0.556641,1.00742
0.557919,1.00679
0.5625,1.00444
0.559268,1.00611
0.560547,1.00545
0.561825,1.00479
0.566406,1.00236
0.563175,1.00408
0.564453,1.0034
0.565732,1.00272
0.570312,1.00023
0.567081,1.00199
0.568359,1.0013
0.569638,1.0006
0.574219,0.998061
0.570987,0.999856
0.572266,0.999146
0.573544,0.998436
0.578125,0.995863
0.574893,0.997681
0.576172,0.996962
0.57745,0.996242
0.582031,0.993648
0.5788,0.99548
0.580078,0.994755
0.581357,0.99403
0.585938,0.99143
0.582706,0.993265
0.583984,0.992539
0.585263,0.991813
0.589844,0.989219
0.586612,0.991048
0.587891,0.990324
0.589169,0.989601
0.59375,0.98703
0.590518,0.988841
0.591797,0.988125
0.593075,0.987408
0.597656,0.984873
0.594425,0.986658
0.595703,0.985952
0.596982,0.985246
0.601562,0.982761
0.598331,0.984508
0.599609,0.983817
0.600888,0.983126
0.605469,0.980706
0.602237,0.982406
0.603516,0.981733
0.604794,0.98106
0.609375,0.978718
0.606143,0.980362
0.607422,0.979712
0.6087,0.979061
0.613281,0.976809
0.61005,0.978388
0.611328,0.977763
0.612607,0.977138
0.617188,0.974989
0.613956,0.976494
0.615234,0.975899
0.616513,0.975303
0.621094,0.973268
0.617862,0.974692
0.619141,0.974129
0.620419,0.973565
0.625,0.971656
0.621768,0.97299
0.623047,0.972462
0.624325,0.971934
0.628906,0.970161
0.625675,0.971398
0.626953,0.970908
0.628232,0.970419
0.632812,0.968791
0.629581,0.969924
0.630859,0.969476
0.632138,0.969027
0.636719,0.967552
0.633487,0.968577
0.634766,0.968171
0.636044,0.967766
0.640625,0.966451
0.637393,0.967362
0.638672,0.967002
0.63995,0.966642
0.644531,0.965494
0.6413,0.966286
0.642578,0.965973
0.643857,0.965659
0.648438,0.964684
0.645206,0.965354
0.646484,0.965089
0.647763,0.964824
0.652344,0.964024
0.649112,0.96457
0.650391,0.964354
0.651669,0.964138
0.65625,0.963517
0.653018,0.963937
0.654297,0.963771
0.655575,0.963605
0.660156,0.963164
0.656925,0.963456
0.658203,0.963341
0.659482,0.963225
0.664062,0.962965
0.660831,0.96313
0.662109,0.963064
0.663388,0.962999
0.667969,0.962918
0.664737,0.962957
0.666016,0.962941
0.667294,0.962926
0.671875,0.963022
0.668643,0.962936
0.669922,0.96297
0.6712,0.963004
0.675781,0.963274
0.67255,0.963066
0.673828,0.963148
0.675107,0.963231
0.679688,0.963669
0.676456,0.963342
0.677734,0.963472
0.679013,0.963601
0.683594,0.964203
0.680362,0.963762
0.681641,0.963936
0.682919,0.964111
