S_values,r_values
0,0.929448
0.00390625,0.929134
0.000674505,0.929394
0.00195312,0.929291
0.00323175,0.929189
0.0078125,0.928354
0.00458075,0.929
0.00585938,0.928744
0.007138,0.928489
0.0117188,0.927396
0.008487,0.928189
0.00976562,0.927875
0.0110442,0.927561
0.015625,0.926572
0.0123933,0.927253
0.0136719,0.926984
0.0149505,0.926714
0.0195312,0.926176
0.0162995,0.926504
0.0175781,0.926374
0.0188567,0.926244
0.0234375,0.926436
0.0202058,0.926221
0.0214844,0.926306
0.022763,0.926391
0.0273438,0.927479
0.024112,0.926616
0.0253906,0.926957
0.0266692,0.927299
0.03125,0.929313
0.0280183,0.927796
0.0292969,0.928396
0.0305755,0.928996
0.0351562,0.931825
0.0319245,0.929747
0.0332031,0.930569
0.0344817,0.931391
0.0390625,0.9348
0.0358308,0.932339
0.0371094,0.933312
0.038388,0.934286
0.0429688,0.937952
0.039737,0.935344
0.0410156,0.936376
0.0422942,0.937408
0.046875,0.940974
0.0436433,0.938474
0.0449219,0.939463
0.0462005,0.940453
0.0507812,0.943577
0.0475495,0.941424
0.0488281,0.942276
0.0501067,0.943128
0.0546875,0.945535
0.0514558,0.943915
0.0527344,0.944556
0.054013,0.945197
0.0585938,0.946718
0.055362,0.94574
0.0566406,0.946127
0.0579192,0.946514
0.0625,0.947107
0.0592683,0.946785
0.0605469,0.946913
0.0618255,0.94704
0.0664062,0.946799
0.0631745,0.947054
0.0644531,0.946953
0.0657317,0.946852
0.0703125,0.94599
0.0670808,0.946659
0.0683594,0.946394
0.069638,0.946129
0.0742188,0.94495
0.070987,0.94581
0.0722656,0.94547
0.0735442,0.94513
0.078125,0.943984
0.0748933,0.944784
0.0761719,0.944467
0.0774505,0.944151
0.0820312,0.943384
0.0787995,0.943881
0.0800781,0.943684
0.0813567,0.943487
0.0859375,0.943385
0.0827058,0.943384
0.0839844,0.943384
0.085263,0.943385
0.0898438,0.944133
0.086612,0.943514
0.0878906,0.943759
0.0891692,0.944004
0.09375,0.945659
0.0905183,0.944397
0.0917969,0.944896
0.0930755,0.945396
0.0976562,0.947875
0.0944245,0.946042
0.0957031,0.946767
0.0969817,0.947492
0.101562,0.950587
0.0983308,0.948343
0.0996094,0.949231
0.100888,0.950118
0.105469,0.953528
0.102237,0.951095
0.103516,0.952057
0.104794,0.95302
0.109375,0.9564
0.106143,0.954024
0.107422,0.954964
0.1087,0.955904
0.113281,0.958912
0.11005,0.956833
0.111328,0.957656
0.112607,0.958478
0.117188,0.960832
0.113956,0.959244
0.115234,0.959872
0.116513,0.9605
0.121094,0.962011
0.117862,0.961035
0.119141,0.961421
0.120419,0.961807
0.125,0.962409
0.121768,0.962079
0.123047,0.96221
0.124325,0.96234
0.128906,0.9621
0.125675,0.962356
0.126953,0.962255
0.128232,0.962154
0.132812,0.96126
0.129581,0.961955
0.130859,0.96168
0.132138,0.961405
0.136719,0.96014
0.133487,0.961067
0.134766,0.9607
0.136044,0.960334
0.140625,0.959035
0.137393,0.95995
0.138672,0.959588
0.13995,0.959226
0.144531,0.958236
0.1413,0.958897
0.142578,0.958635
0.143857,0.958374
0.148438,0.957986
0.145206,0.958192
0.146484,0.958111
0.147763,0.958029
0.152344,0.958447
0.149112,0.958066
0.150391,0.958217
0.151669,0.958368
0.15625,0.959672
0.153018,0.958659
0.154297,0.95906
